timestamp_utc,open,high,low,close,volume
1735772400,21070.242,21113.908,21048.187,21110.831,0.0
1735772700,21110.221,21114.409,21095.72,21102.21,0.0
1735773000,21101.754,21101.754,21091.353,21094.498,0.0
1735773300,21094.399,21105.186,21087.354,21089.221,0.0
1735773600,21089.11,21097.519,21080.809,21091.864,0.0
1735773900,21092.199,21096.253,21085.653,21091.986,0.0
1735774200,21092.153,21098.953,21084.487,21085.176,0.0
1735774500,21085.375,21086.209,21044.72,21062.687,0.0
1735774800,21062.498,21065.385,21053.308,21053.454,0.0
1735775100,21053.365,21056.631,21038.365,21046.599,0.0
1735775400,21046.899,21061.719,21045.431,21059.176,0.0
1735775700,21059.298,21063.131,21055.82,21060.72,0.0
1735776000,21060.82,21061.599,21019.976,21019.976,0.0
1735776300,21019.843,21032.653,21017.143,21030.398,0.0
1735776600,21030.487,21030.851,20996.453,21006.019,0.0
1735776900,21007.298,21011.61,20915.776,20946.089,0.0
1735777200,20945.732,20950.22,20936.297,20949.721,0.0
1735777500,20948.408,20956.999,20927.864,20937.71,0.0
1735777800,20938.399,20969.399,20927.475,20965.164,0.0
1735778100,20965.443,20982.999,20955.497,20977.787,0.0
1735778400,20978.621,21011.797,20975.287,21010.621,0.0
1735778700,21011.242,21034.019,21009.231,21020.876,0.0
1735779000,21020.387,21037.242,21014.787,21032.632,0.0
1735779300,21032.331,21042.131,21020.331,21025.198,0.0
1735779600,21025.298,21070.699,21025.298,21057.209,0.0
1735779900,21056.919,21075.909,21052.664,21053.42,0.0
1735780200,21053.342,21070.209,21053.342,21067.697,0.0
1735780500,21068.12,21080.354,21061.921,21062.398,0.0
1735780800,21062.508,21090.642,21058.72,21088.221,0.0
1735781100,21089.398,21092.275,21076.319,21076.889,0.0
1735781400,21076.652,21084.776,21061.389,21063.821,0.0
1735781700,21063.932,21103.089,21057.319,21098.019,0.0
1735782000,21098.089,21099.898,21086.887,21093.353,0.0
1735782300,21092.831,21097.599,21080.754,21087.889,0.0
1735782600,21086.81,21107.153,21084.342,21103.387,0.0
1735782900,21102.954,21103.998,21081.908,21088.921,0.0
1735783200,21088.11,21093.699,21081.92,21089.286,0.0
1735783500,21089.519,21101.221,21085.864,21091.875,0.0
1735783800,21091.742,21097.951,21086.842,21089.753,0.0
1735784100,21089.697,21094.764,21082.009,21094.642,0.0
1735784400,21094.776,21103.008,21091.12,21093.989,0.0
1735784700,21093.653,21116.964,21091.809,21114.72,0.0
1735785000,21114.965,21115.387,21103.886,21108.486,0.0
1735785300,21108.287,21118.975,21103.419,21117.865,0.0
1735785600,21117.764,21125.298,21114.999,21121.453,0.0
1735785900,21121.265,21123.254,21118.742,21121.486,0.0
1735786200,21121.353,21126.498,21109.41,21109.889,0.0
1735786500,21109.443,21119.599,21109.154,21116.232,0.0
1735786800,21115.675,21119.92,21107.787,21111.221,0.0
1735787100,21110.953,21113.621,21104.508,21109.232,0.0
1735787400,21109.71,21114.699,21104.92,21107.475,0.0
1735787700,21108.099,21115.399,21102.71,21114.897,0.0
1735788000,21114.797,21124.997,21111.443,21122.742,0.0
1735788300,21120.821,21133.231,21118.464,21124.465,0.0
1735788600,21124.419,21127.743,21115.721,21119.187,0.0
1735788900,21119.31,21119.999,21111.31,21112.21,0.0
1735789200,21112.197,21113.099,21097.987,21099.821,0.0
1735789500,21100.319,21103.209,21088.999,21097.899,0.0
1735789800,21097.453,21107.398,21097.121,21105.809,0.0
1735790100,21105.897,21107.22,21097.775,21100.664,0.0
1735790400,21102.319,21111.375,21099.853,21102.321,0.0
1735790700,21102.643,21109.719,21094.832,21107.22,0.0
1735791000,21106.332,21108.509,21094.876,21097.498,0.0
1735791300,21096.876,21101.176,21091.842,21098.309,0.0
1735791600,21097.832,21100.998,21081.653,21089.876,0.0
1735791900,21089.387,21099.689,21089.387,21098.432,0.0
1735792200,21098.675,21109.686,21096.997,21109.476,0.0
1735792500,21109.419,21115.932,21108.475,21113.186,0.0
1735792800,21113.41,21121.899,21111.487,21119.854,0.0
1735793100,21119.743,21120.453,21112.61,21116.897,0.0
1735793400,21117.198,21129.165,21115.387,21122.943,0.0
1735793700,21122.731,21124.265,21116.765,21118.389,0.0
1735794000,21118.81,21123.899,21115.286,21119.975,0.0
1735794300,21119.908,21124.786,21117.42,21117.497,0.0
1735794600,21117.765,21138.199,21117.375,21135.964,0.0
1735794900,21135.719,21148.309,21131.454,21144.443,0.0
1735795200,21144.253,21146.897,21139.998,21140.643,0.0
1735795500,21141.986,21144.297,21138.264,21143.787,0.0
1735795800,21143.398,21147.165,21134.819,21140.354,0.0
1735796100,21140.509,21153.899,21140.42,21147.331,0.0
1735796400,21146.987,21158.354,21146.742,21155.276,0.0
1735796700,21155.343,21167.389,21154.786,21167.389,0.0
1735797000,21167.62,21170.165,21159.943,21161.519,0.0
1735797300,21161.32,21167.498,21158.742,21164.487,0.0
1735797600,21164.675,21166.798,21156.787,21162.631,0.0
1735797900,21163.354,21166.986,21161.998,21163.221,0.0
1735798200,21165.219,21166.965,21158.31,21161.819,0.0
1735798500,21161.875,21176.209,21161.687,21175.798,0.0
1735798800,21175.887,21176.175,21168.342,21171.998,0.0
1735799100,21172.198,21172.899,21150.409,21157.765,0.0
1735799400,21157.82,21183.409,21155.353,21178.254,0.0
1735799700,21178.409,21179.82,21172.265,21176.297,0.0
1735800000,21175.932,21178.632,21173.931,21175.443,0.0
1735800300,21175.287,21184.421,21173.231,21177.686,0.0
1735800600,21178.287,21185.721,21173.432,21185.009,0.0
1735800900,21184.665,21189.999,21180.82,21183.189,0.0
1735801200,21183.253,21191.487,21177.675,21177.675,0.0
1735801500,21177.742,21186.319,21174.453,21182.232,0.0
1735801800,21182.175,21182.489,21172.687,21172.842,0.0
1735802100,21172.742,21175.464,21165.754,21172.643,0.0
1735802400,21172.453,21176.731,21167.331,21172.987,0.0
1735802700,21172.842,21176.61,21168.643,21175.954,0.0
1735803000,21175.753,21175.753,21154.754,21160.886,0.0
1735803300,21160.776,21169.389,21159.753,21164.231,0.0
1735803600,21164.164,21166.476,21151.153,21151.875,0.0
1735803900,21153.242,21153.242,21139.965,21148.143,0.0
1735804200,21147.81,21155.953,21145.976,21151.009,0.0
1735804500,21150.264,21159.676,21146.432,21151.442,0.0
1735804800,21151.697,21195.164,21148.131,21187.132,0.0
1735805100,21186.632,21203.61,21184.143,21200.498,0.0
1735805400,21199.989,21217.943,21191.008,21212.997,0.0
1735805700,21213.386,21215.32,21185.432,21200.464,0.0
1735806000,21200.932,21200.932,21176.687,21177.753,0.0
1735806300,21177.589,21177.589,21136.831,21140.875,0.0
1735806600,21141.198,21160.697,21112.41,21126.175,0.0
1735806900,21126.364,21148.131,21120.331,21129.343,0.0
1735807200,21129.297,21163.686,21128.775,21141.509,0.0
1735807500,21141.708,21168.519,21130.186,21162.965,0.0
1735807800,21163.153,21166.754,21150.808,21153.675,0.0
1735808100,21153.42,21177.189,21150.32,21169.399,0.0
1735808400,21169.151,21174.398,21144.309,21155.731,0.0
1735808700,21155.864,21185.654,21152.121,21180.354,0.0
1735809000,21180.489,21194.153,21178.854,21189.665,0.0
1735809300,21189.743,21199.276,21183.219,21193.465,0.0
1735809600,21193.876,21194.11,21178.008,21194.11,0.0
1735809900,21193.72,21194.22,21173.742,21187.875,0.0
1735810200,21188.265,21192.331,21179.219,21185.265,0.0
1735810500,21185.709,21189.464,21155.442,21164.821,0.0
1735810800,21164.42,21186.809,21160.797,21183.689,0.0
1735811100,21183.589,21193.099,21179.82,21189.275,0.0
1735811400,21189.219,21191.665,21174.153,21178.354,0.0
1735811700,21178.297,21197.389,21176.919,21196.232,0.0
1735812000,21196.009,21204.731,21186.143,21188.689,0.0
1735812300,21188.387,21191.498,21172.175,21187.31,0.0
1735812600,21187.443,21189.009,21153.753,21163.764,0.0
1735812900,21163.654,21181.699,21158.664,21179.709,0.0
1735813200,21178.286,21185.676,21171.698,21175.82,0.0
1735813500,21176.009,21183.898,21169.821,21179.41,0.0
1735813800,21178.764,21191.389,21175.297,21189.232,0.0
1735814100,21188.721,21197.764,21187.265,21193.776,0.0
1735814400,21193.354,21194.019,21185.287,21190.909,0.0
