timestamp_utc,open,high,low,close,volume
1781755200,4340.0,4344.2001953125,4339.60009765625,4340.7001953125,0
1781755500,4340.60009765625,4341.0,4336.5,4337.10009765625,314
1781755800,4337.2001953125,4338.5,4334.89990234375,4338.2001953125,194
1781756100,4338.10009765625,4339.2998046875,4335.60009765625,4335.60009765625,126
1781756400,4335.39990234375,4335.5,4331.60009765625,4334.0,242
1781756700,4332.7998046875,4335.10009765625,4332.2998046875,4333.7001953125,117
1781757000,4333.60009765625,4337.39990234375,4333.10009765625,4336.60009765625,120
1781757300,4336.7998046875,4338.2998046875,4332.39990234375,4332.89990234375,253
1781757600,4333.2001953125,4334.0,4330.0,4330.0,182
1781757900,4330.10009765625,4335.5,4330.0,4335.5,394
1781758200,4335.39990234375,4336.2001953125,4333.7998046875,4335.60009765625,103
1781758500,4335.7001953125,4337.5,4335.10009765625,4336.0,178
1781758800,4335.7998046875,4337.39990234375,4332.5,4335.2998046875,135
1781759100,4335.0,4338.60009765625,4334.60009765625,4337.89990234375,122
1781759400,4337.39990234375,4338.60009765625,4335.2001953125,4335.60009765625,123
1781759700,4336.39990234375,4342.7998046875,4335.7998046875,4341.7001953125,256
1781760000,4341.5,4342.10009765625,4339.10009765625,4339.39990234375,170
1781760300,4339.60009765625,4343.2998046875,4338.89990234375,4343.2998046875,167
1781760600,4343.0,4345.2001953125,4339.60009765625,4343.0,413
1781760900,4342.7001953125,4344.0,4336.5,4336.7001953125,191
1781761200,4336.7998046875,4338.39990234375,4329.60009765625,4330.5,564
1781761500,4330.10009765625,4331.39990234375,4322.0,4323.0,1159
1781761800,4322.89990234375,4330.2001953125,4321.5,4327.89990234375,526
1781762100,4328.39990234375,4330.10009765625,4327.0,4328.0,211
1781762400,4328.39990234375,4330.2998046875,4326.7001953125,4327.5,304
1781762700,4327.5,4327.5,4316.60009765625,4321.2998046875,628
1781763000,4321.10009765625,4321.2998046875,4316.39990234375,4319.39990234375,386
1781763300,4318.89990234375,4322.7001953125,4316.2998046875,4319.0,300
1781763600,4319.10009765625,4325.7001953125,4319.10009765625,4323.0,247
1781763900,4323.60009765625,4325.39990234375,4320.39990234375,4325.39990234375,328
1781764200,4325.0,4325.39990234375,4323.0,4324.10009765625,217
1781764500,4323.60009765625,4323.60009765625,4319.60009765625,4321.0,286
1781764800,4321.2998046875,4322.2998046875,4319.2998046875,4321.7998046875,209
1781765100,4321.39990234375,4327.7998046875,4321.39990234375,4324.5,267
1781765400,4325.0,4326.2998046875,4323.39990234375,4325.60009765625,199
1781765700,4326.0,4327.39990234375,4324.10009765625,4326.60009765625,386
